arijit,NN,O
pasayat,NN,O
j,NN,O
1,CD,O
all,PDT,O
these,DT,O
cases,NNS,O
relate,VBP,O
to,TO,O
the,DT,O
establishment,NN,O
and,CC,O
functioning,NN,O
of,IN,O
courts,NNS,O
described,VBN,O
as,IN,O
fast,JJ,O
track,NN,O
courts,NNS,O
and,CC,O
therefore,RB,O
are,VBP,O
disposed,VBN,O
of,IN,O
by,IN,O
this,DT,O
common,JJ,O
judgment,NN,O
the,DT,O
eleventh,JJ,O
finance,NN,O
commission,NN,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
finance,NN,O
commission,NN,O
allocated,VBD,O
rs,JJ,O
50290,CD,O
crores,NNS,O
under,IN,O
article,NN,O
275,CD,O
of,IN,O
the,DT,O
constitution,NN,O
of,IN,O
india,JJ,O
1950,CD,O
in,IN,O
short,JJ,O
the,DT,O
constitution,NN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
setting,VBG,O
up,IN,O
of,IN,O
1734,CD,O
courts,NNS,O
in,IN,O
various,JJ,O
states,NNS,O
to,TO,O
deal,VB,O
with,IN,O
long,JJ,O
pending,JJ,O
cases,NNS,O
particularly,RB,O
sessions,NNS,O
cases,NNS,O
as,IN,O
allocation,NN,O
of,IN,O
funds,NNS,O
made,VBN,O
by,IN,O
the,DT,O
finance,NN,O
commission,NN,O
stipulated,VBD,O
time,NN,O
bound,NN,O
utilization,NN,O
within,IN,O
a,DT,O
period,NN,O
of,IN,O
five,CD,O
years,NNS,O
various,JJ,O
state,NN,O
governments,NNS,O
were,VBD,O
required,VBN,O
to,TO,O
take,VB,O
necessary,JJ,O
steps,NNS,O
to,TO,O
establish,VB,O
such,JJ,O
courts,NNS,O
it,PRP,O
appears,VBZ,O
that,IN,O
the,DT,O
finance,NN,O
commission,NN,O
had,VBD,O
suggested,VBN,O
that,IN,O
the,DT,O
states,NNS,O
may,MD,O
consider,VB,O
re,JJ,O
employment,NN,O
of,IN,O
retired,JJ,O
judges,NNS,O
for,IN,O
limited,JJ,O
period,NN,O
for,IN,O
the,DT,O
disposal,NN,O
of,IN,O
pending,VBG,O
cases,NNS,O
since,IN,O
these,DT,O
courts,NNS,O
were,VBD,O
to,TO,O
be,VB,O
ad,NN,B-LEGAL
hoc,NN,O
in,IN,O
the,DT,O
sense,NN,O
