1,CD,O
the,DT,O
appellant,NN,O
which,WDT,O
is,VBZ,O
government,NN,O
of,IN,O
assam,NN,O
undertaking,NN,B-LEGAL
is,VBZ,O
engaged,VBN,O
in,IN,O
the,DT,O
manufacturing,NN,O
of,IN,O
formalim,JJ,O
menthol,NN,B-LEGAL
and,CC,O
carbon,NN,O
dioxide,NN,O
it,PRP,O
set,VBD,O
up,RP,O
its,PRP$,O
unit,NN,O
somewhere,RB,O
in,IN,O
the,DT,O
1970s,CD,O
the,DT,O
government,NN,O
of,IN,O
india,JJ,B-LEGAL
issued,VBN,O
two,CD,O
notifications,NNS,O
viz,VBP,O
notification,NN,B-LEGAL
no,DT,O
32,CD,O
99,CD,O
ce,NN,O
and,CC,O
notification,NN,B-LEGAL
no,DT,O
33,CD,O
99,CD,O
ce,NN,O
both,DT,O
dated,VBD,O
8,CD,O
7,CD,O
1999,CD,O
whereby,NN,O
benefit,NN,B-LEGAL
of,IN,O
exemption,NN,B-LEGAL
from,IN,O
payment,NN,B-LEGAL
of,IN,O
central,JJ,O
excise,NN,B-LEGAL
duty,NN,I-LEGAL
was,VBD,O
extended,VBN,O
to,TO,O
factories,NNS,O
in,IN,O
north,JJ,O
eastern,JJ,O
states,NNS,O
this,DT,O
benefit,NN,B-LEGAL
was,VBD,O
made,VBN,O
available,JJ,O
to,TO,O
those,DT,O
who,WP,O
set,VBD,O
up,RP,O
new,JJ,O
industrial,JJ,O
units,NNS,O
on,IN,O
or,CC,O
after,IN,O
24th,CD,O
december,NN,O
1997,CD,O
it,PRP,O
was,VBD,O
also,RB,O
made,VBN,O
available,JJ,O
to,TO,O
the,DT,O
existing,VBG,O
industrial,JJ,O
units,NNS,O
if,IN,O
they,PRP,O
increased,VBD,O
their,PRP$,O
production,NN,B-LEGAL
capacity,NN,I-LEGAL
by,IN,O
25,CD,O
in,IN,O
para,NN,O
3,CD,O
of,IN,O
the,DT,O
notification,NN,B-LEGAL
conditions,NNS,O
were,VBD,O
laid,VBN,O
down,RB,O
which,WDT,O
were,VBD,O
to,TO,O
be,VB,O
satisfied,VBN,O
in,IN,O
this,DT,O
behalf,NN,O
this,DT,O
para,NN,O
reads,VBZ,O
as,IN,O
under,IN,O
3,CD,O
the,DT,O
exemption,NN,B-LEGAL
contained,VBN,O
in,IN,O
this,DT,O
notification,NN,B-LEGAL
shall,MD,O
apply,VB,O
only,RB,O
to,TO,O
the,DT,O
following,JJ,O
kind,NN,O
of,IN,O
units,NNS,O
namely,RB,O
a,DT,O
new,JJ,O
industrial,JJ,O
units,NNS,O
which,WDT,O
have,VBP,O
commenced,VBN,O
their,PRP$,O
commercial,JJ,O
production,NN,O
on,IN,O
or,CC,O
after,IN,O
the,DT,O
24th,JJ,O
day,NN,O
of,IN,O
december,NN,O
1997,CD,O
b,NN,O
